"google:fonts","Google Fonts","https://fonts.google.com/"
"font-awesome", "Font Awesome","https://fontawesome.com/"
"google:tag-manager", "Google Tag Manager","https://tagmanager.google.com/"
"google:analytics", "Google Analytics","https://analytics.google.com/"
"google:recaptcha", "Google Recaptcha","https://www.google.com/recaptcha/about/"
"tracking:facebook", "Facebook Conversion Tracking", "https://developers.facebook.com/docs/meta-pixel/implementation/conversion-tracking?locale=de_DE"
"google:maps","Google Maps", "https://www.google.com/maps"
"youtube-video", "YouTube Video", "https://www.youtube.com"
"google:ads", "Google Ads", "https://ads.google.com/"
"whatsapp", "WhatsApp API", "https://business.whatsapp.com/developers/developer-hub"
"cookie:cookielaw", "CookieLaw Cookie Consent", "https://www.cookielaw.org"
"google:doubleclick", "Google Marketing Platform (DoubleClick)", "https://marketingplatform.google.com/"
"borlabs-cookies","Borlabs Cookie", "https://de.borlabs.io/borlabs-cookie/"
"cookie:cookie-bot", "Cookie Bot - Cookie Consent Solution", https://www.cookiebot.com/"
"monitoring:new-relic", "New Relic Monitoring", "https://newrelic.com/"
